種別,元の名前
APIキー取得失敗,No module named 'keiriver2'
列,企業（列が存在しません）
列,店舗（列が存在しません）
APIエラー,"店舗: かつくらくずはﾓｰﾙ店様 (

You tried to access openai.ChatCompletion, but this is no longer supported in openai>=1.0.0 - see the README at https://github.com/openai/openai-python for the API.

You can run `openai migrate` to automatically upgrade your codebase to use the 1.0.0 interface. 

Alternatively, you can pin your installation to the old version, e.g. `pip install openai==0.28`

A detailed migration guide is available here: https://github.com/openai/openai-python/discussions/742
)"
店舗,かつくらくずはﾓｰﾙ店様
APIエラー,"店舗: 家族亭ならﾌｧﾐﾘｰ店様分 (

You tried to access openai.ChatCompletion, but this is no longer supported in openai>=1.0.0 - see the README at https://github.com/openai/openai-python for the API.

You can run `openai migrate` to automatically upgrade your codebase to use the 1.0.0 interface. 

Alternatively, you can pin your installation to the old version, e.g. `pip install openai==0.28`

A detailed migration guide is available here: https://github.com/openai/openai-python/discussions/742
)"
店舗,家族亭ならﾌｧﾐﾘｰ店様分
APIエラー,"店舗: 丸源ﾗｰﾒﾝ鹿児島新栄店様 (

You tried to access openai.ChatCompletion, but this is no longer supported in openai>=1.0.0 - see the README at https://github.com/openai/openai-python for the API.

You can run `openai migrate` to automatically upgrade your codebase to use the 1.0.0 interface. 

Alternatively, you can pin your installation to the old version, e.g. `pip install openai==0.28`

A detailed migration guide is available here: https://github.com/openai/openai-python/discussions/742
)"
店舗,丸源ﾗｰﾒﾝ鹿児島新栄店様
APIエラー,"店舗: しゃぶしゃぶﾌﾞｯﾌｪしゃ (

You tried to access openai.ChatCompletion, but this is no longer supported in openai>=1.0.0 - see the README at https://github.com/openai/openai-python for the API.

You can run `openai migrate` to automatically upgrade your codebase to use the 1.0.0 interface. 

Alternatively, you can pin your installation to the old version, e.g. `pip install openai==0.28`

A detailed migration guide is available here: https://github.com/openai/openai-python/discussions/742
)"
店舗,しゃぶしゃぶﾌﾞｯﾌｪしゃ
APIエラー,"店舗: 焼肉の名門天壇北山店様 (

You tried to access openai.ChatCompletion, but this is no longer supported in openai>=1.0.0 - see the README at https://github.com/openai/openai-python for the API.

You can run `openai migrate` to automatically upgrade your codebase to use the 1.0.0 interface. 

Alternatively, you can pin your installation to the old version, e.g. `pip install openai==0.28`

A detailed migration guide is available here: https://github.com/openai/openai-python/discussions/742
)"
店舗,焼肉の名門天壇北山店様
APIエラー,"店舗: 丸源ﾗｰﾒﾝ豊田若林店様分 (

You tried to access openai.ChatCompletion, but this is no longer supported in openai>=1.0.0 - see the README at https://github.com/openai/openai-python for the API.

You can run `openai migrate` to automatically upgrade your codebase to use the 1.0.0 interface. 

Alternatively, you can pin your installation to the old version, e.g. `pip install openai==0.28`

A detailed migration guide is available here: https://github.com/openai/openai-python/discussions/742
)"
店舗,丸源ﾗｰﾒﾝ豊田若林店様分
APIエラー,"店舗: 江戸前回転鮨弥一阪急う (

You tried to access openai.ChatCompletion, but this is no longer supported in openai>=1.0.0 - see the README at https://github.com/openai/openai-python for the API.

You can run `openai migrate` to automatically upgrade your codebase to use the 1.0.0 interface. 

Alternatively, you can pin your installation to the old version, e.g. `pip install openai==0.28`

A detailed migration guide is available here: https://github.com/openai/openai-python/discussions/742
)"
店舗,江戸前回転鮨弥一阪急う
